Star,Gaia_DR3_ID,otype
V* Z And,1941894322438077312,Symbiotic*
EM* AS  453,2163465736706055936,Symbiotic*
V* AX Per,409028569033785728,Symbiotic*
EM* MWC   17,511165811916350336,Symbiotic*
EM* StHA  169,2080256655222847744,Symbiotic*
V* CH Cyg,2130088038314195200,Symbiotic*
V* BD Cam,487305619316615680,Symbiotic*
V* V562 Lyr,2118838071562342400,Symbiotic*
[ALS82] C1,1433154243632773248,Symbiotic*
V* AG Dra,1642955252784454144,Symbiotic*
EM* StHA   32,3229441606998725888,Symbiotic*
V* V1261 Ori,3014902188065355264,Symbiotic*
*  17 Lep,2991407583086382592,Symbiotic*
V* GH Gem,3160625132721733888,Symbiotic*
V* BX Mon,3060568062769059840,Symbiotic*
EM* MWC  560,3054628264738851456,Symbiotic*
V* NQ Gem,868424696282795392,Symbiotic*
V* Y Gem,672851328938093824,Symbiotic*
WRAY 15-157,5597659331053579008,Symbiotic*
V* R Aqr,2419576358847950592,Symbiotic*
EM* StHA  190,2694546586112887552,Symbiotic*
V* AG Peg,1766454215586119680,Symbiotic*
V* V379 Peg,2847960623198997120,Symbiotic*
V* DT Psc,308866701872125568,Symbiotic*
V* EG And,369176289048301312,Symbiotic*
CD-27  8661,3474793129906938752,Symbiotic*
V* TX CVn,1520090669535373824,Symbiotic*
V* V1044 Cen,6165818495673620352,Symbiotic*
V* RW Hya,6191401382471531264,Symbiotic*
BD-21  3873,6276714894852124032,Symbiotic*
V* Y CrA,6724477948585772800,Symbiotic*
WRAY 15-1518,6017382944157509760,Symbiotic*
WRAY 16-226,6020686328090453888,Symbiotic*
SS73  96,5962461101401632384,Symbiotic*
WRAY 16-304,5961300498162820352,Symbiotic*
EM* AS  241,5961347541020297856,Symbiotic*
Hen 2-289,4039971175018162944,Symbiotic*
EM* AS  217,5978167556310066944,Symbiotic*
PN K  5-8,4041216852950479616,Symbiotic*
Hen 3-1481,4040275872793595392,Symbiotic*
EM* AS  255,4040564975631065088,Symbiotic*
SV* HV  7199,4038763219667644288,Symbiotic*
V* HK Sco,6029494923730923904,Symbiotic*
V* CL Sco,6027978628476711808,Symbiotic*
2MASS J16592341-3214441,6026842047072273792,Symbiotic*
EM* AS  221,5979902864926562176,Symbiotic*
WRAY 15-1655,5980352766931610112,Symbiotic*
WRAY 16-318,4043421575564556160,Symbiotic*
PN Bl  3-6,4055694259981267328,Symbiotic*
V* V745 Sco,4043221606260719360,Symbiotic*
EM* AS  280,4039688527424294144,Symbiotic*
WRAY 16-384,4039705810373294080,Symbiotic*
Haro 1-2,6045084181848691456,Symbiotic*
PN Sa  3-43,4059208981986040192,Symbiotic*
PN Th  3-7,4059348585602948864,Symbiotic*
PN Th  3-17,4059501589512272384,Symbiotic*
PN Th  3-18,4059655594297061888,Symbiotic*
PN Th  3-20,4058701527427641472,Symbiotic*
PN Th  3-30,4061159206381600000,Symbiotic*
PN H  1-25,4058561820720486272,Symbiotic*
PN Th  3-31,4058584566870668928,Symbiotic*
PN Sa  3-104,4062337577973897600,Symbiotic*
PN H  2-34,4062591045559960064,Symbiotic*
EM* AS  282,4050848540419995776,Symbiotic*
PN KFL    8,4050319567909135744,Symbiotic*
PN ShWi    5,4050209822908746240,Symbiotic*
EM* AS  293,4049689204148424832,Symbiotic*
EM* AS  299,4052142523831589504,Symbiotic*
HD 319167,4049400857224042240,Symbiotic*
EM* AS  210,6034584803576395648,Symbiotic*
Hen 3-1591,4064867004473774848,Symbiotic*
EM* AS  281,4050929693788352384,Symbiotic*
SS73 122,4063155232326973824,Symbiotic*
V* V3929 Sgr,4052749114984244096,Symbiotic*
WRAY 15-1864,4052967471085731584,Symbiotic*
V* V1988 Sgr,4051676816353066112,Symbiotic*
NAME UKS-Ce1,6242724798553127168,Symbiotic*
Hen 3-1342,4113660822209255168,Symbiotic*
V* V2116 Oph,4110236324513030656,Symbiotic*
ESO 520-12,4116352873442484096,Symbiotic*
EM* AS  239,4116907164716691200,Symbiotic*
EM* AS  313,4079214222462345728,Symbiotic*
EM* AS  327,4074885853134071936,Symbiotic*
PN Th  4-4,4119029875002043392,Symbiotic*
Ve 3-61,4070389125449668608,Symbiotic*
EM* AS  245,4070431014380658304,Symbiotic*
Hen 2-374,4090888798194893184,Symbiotic*
EM* AS  316,4079981986449605376,Symbiotic*
EM* MWC  960,4085984602713782784,Symbiotic*
Hen 3-1341,4135518250054109056,Symbiotic*
Hen 2-247,4121623962125563776,Symbiotic*
V* FN Sgr,4086166498837182080,Symbiotic*
EM* AS  337,4088367038239816704,Symbiotic*
V* UU Ser,4148962253597431680,Symbiotic*
PN MaC  1-9,4148836226423829888,Symbiotic*
V* RT Ser,4162257037120281216,Symbiotic*
EM* AS  289,4156835340974302464,Symbiotic*
V* FR Sct,4152794914909611904,Symbiotic*
IRAS 18275-1357,4104372315454847232,Symbiotic*
PN K  3-9,4155672680486693120,Symbiotic*
[ALS88] 1,4201684729502098688,Symbiotic*
V* RS Oph,4174878674679897344,Symbiotic*
EM* AS  323,4252471412111393280,Symbiotic*
PN MaC  1-17,4212073984827936640,Symbiotic*
PN Pe  2-16,4254977959395127168,Symbiotic*
V* CM Aql,4261573650399645184,Symbiotic*
V* FG Ser,4274771986126496640,Symbiotic*
EM* RJHA  105,4273830971664255616,Symbiotic*
PN K  3-25,4267953674047447552,Symbiotic*
