Star,Gaia_DR3_ID,otype
EM* LkHA   35,3326690803432220672,TTauri*
V* V1476 Ori,3209532101417942656,TTauri*
Cl* NGC 2264    FMS     235,3326689802704312192,TTauri*
CVSO 870,3235955461774962816,TTauri*
2MASS J05352805-0621331,3017139900386574080,TTauri*
ESO-HA  548,3326724819573411456,TTauri*
2MASS J05222009-0341284,3210859589908007552,TTauri*
2MASS J06405545+0909289,3326536626990506368,TTauri*
TWA 23,3466308095597260032,TTauri*
2MASS J05340821-0505445,3209539385682507520,TTauri*
2MASS J05393378-0220398,3216500634314117504,TTauri*
V* V1931 Ori,3209598548853143680,TTauri*
Haro 4-345,3017191130756437120,TTauri*
CVSO 1685,3217766550154990208,TTauri*
2MASS J05323380-0103585,3217637151381365248,TTauri*
2MASS J21380593+5722438,2178390958528283776,TTauri*
EM* LkHA  364,3326689291604121216,TTauri*
2MASS J05341006-0626505,3017135811577753984,TTauri*
CVSO 174,3217419619876608384,TTauri*
2MASS J05344477-0454051,3209551544732354304,TTauri*
2MASS J05241266+0220093,3234342787454865152,TTauri*
BKLT J162601-242945,6049137325300811520,TTauri*
CVSO 49,3220941007726239744,TTauri*
CVSO 1566,3223711953123323136,TTauri*
CVSO 539,3234185518635945216,TTauri*
BKLT J162621-241544,6049168077267293568,TTauri*
V* GP Mon B,3326717393574755328,TTauri*
V* V2431 Ori,3017189687647426048,TTauri*
[RPG2014] 51204,3326935921509257344,TTauri*
Cl* NGC 2264    RMS     905,3326908639878617216,TTauri*
Cl* NGC 2264    FMS      35,3326702378369127296,TTauri*
CVSO 1049,3236059881019874176,TTauri*
UScoCTIO 128,6237077943051415680,TTauri*
2MASS J05331093-0221575,3216933803240674816,TTauri*
CVSO 1479,3222734345551099008,TTauri*
2MASS J05073085-0318455,3213013052149128704,TTauri*
2MASS J21371591+5726591,2178394050904653440,TTauri*
Cl* NGC 2264    FMS     327,3326685821270542976,TTauri*
V* V1664 Ori,3209428128847769856,TTauri*
ESO-HA  525,3326736394509695872,TTauri*
Cl* NGC 2264    RMS    3101,3326708807935122304,TTauri*
VPHAS J173454.4-323830.5,4054615188042470784,TTauri*
2MASS J21362368+5732452,2178445109478268288,TTauri*
CVSO 387,3215180911123228544,TTauri*
CVSO 255,3216968339073745536,TTauri*
Cl* NGC 2264    RMS    3717,3326692620203220864,TTauri*
V* MZ Lup,6036037331464428800,TTauri*
2MASS J05365267-0546063,3017289433979336832,TTauri*
2MASS J03330155+0353379,3274563335114896512,TTauri*
CD-78   502,5788392403384673664,TTauri*
CVSO 1782,3217273900226829312,TTauri*
CVSO 388,3214169875821531904,TTauri*
2MASS J05345480-0555083,3017236416891613184,TTauri*
CVSO 334,3227575259026771968,TTauri*
CVSO 1016,3220534257144314752,TTauri*
ESO-HA  444,3326740689477364864,TTauri*
UCAC2  30800073,3216489329960277376,TTauri*
2MASS J05361167-0624583,3016949233901018752,TTauri*
CVSO 1000,3236081111043572608,TTauri*
CVSO 266E,3213274838995324288,TTauri*
CVSO 985,3235905365276381696,TTauri*
2MASS J05341889-0559298,3017212158916346880,TTauri*
2MASS J05341194-0552219,3017240574419809408,TTauri*
2MASS J05352060-0446024,3209577868589348992,TTauri*
RX J0448.0+0737,3289216320421317888,TTauri*
2MASS J16244839-2359160,6049377465512695040,TTauri*
CVSO 915,3223828428340495360,TTauri*
V* V1883 Ori,3223466452793246080,TTauri*
CVSO 251,3217167522476587776,TTauri*
1RXS J054926.3+040541,3319628434087776000,TTauri*
V* V1492 Cyg,2163135681360800384,TTauri*
Cl* IC  348    LRL     142,216680623343650176,TTauri*
Cl* NGC 1981     AR     149,3215643461921433600,TTauri*
2MASS J05330571+0225044,3223683400180877696,TTauri*
Haro 5-95,3218184536371062144,TTauri*
2MASS J05321009-0151472,3217151957514898688,TTauri*
2MASS J05293544-0139389,3220217219838848768,TTauri*
ESO-HA  337,3326708120740365824,TTauri*
2MASS J05351809-0515461,3017367602382429824,TTauri*
2MASS J05340971-0448463,3209600889614124928,TTauri*
V* V1680 Ori,3017150929862605696,TTauri*
Glass C,5201206086948012800,TTauri*
CD-74   681,5838036590332780928,TTauri*
V* V1207 Tau,3409036871368311424,TTauri*
ATO J081.6570-02.2918,3220075971250278144,TTauri*
2MASS J05471972+0001218,3219150251177995392,TTauri*
V* V2600 Ori,3017185392680127360,TTauri*
V* V1550 Ori,3017359218607966592,TTauri*
RX J1558.1-2405B,6236961704057157888,TTauri*
2MASS J05363748-0616076,3016977305807304576,TTauri*
V* V470 Ori,3017267890411790208,TTauri*
2MASS J06395509+0921526,3326593531014345344,TTauri*
V* LY Lup,6004331775495542656,TTauri*
CVSO 254,3217163983423531392,TTauri*
CD-36  7429B,3463395519358168064,TTauri*
CVSO 1166,3220732688928571648,TTauri*
V* V786 Ori,3017264832395836544,TTauri*
2MASS J05470698+0031559,3219589231195394944,TTauri*
BKLT J162703-240934,6049174914854560640,TTauri*
2MASS J05263126+1510151,3390753844127818624,TTauri*
CVSO 153,3222861446518927232,TTauri*
V* V2386 Ori,3017358978089657600,TTauri*
CVSO 362,3215225681862345600,TTauri*
2MASS J05325247-0143229,3217178345793861248,TTauri*
ESO-HA 1293,3017184018290599424,TTauri*
CVSO 1739,3217588291833489920,TTauri*
CVSO 1301,3223998066664475392,TTauri*
2MASS J05185504-0102314,3215214789825185280,TTauri*
2MASS J05463856+0022059,3219210032827747328,TTauri*
ESO-HA  353,3326703344737668736,TTauri*
2MASS J05362564-0421585,3215643015244849920,TTauri*
2MASS J05462665+0031074,3219600157592203264,TTauri*
CD-33 10568,6014509855853922176,TTauri*
CVSO 570,3222180741446540544,TTauri*
2MASS J20504045+4420217,2163139873248885632,TTauri*
2MASS J05342743-0500263,3209546218978729216,TTauri*
Cl* IC  348    LRL    8024,216678286881434368,TTauri*
2MASS J05354379-0509588,3017374332583414272,TTauri*
CVSO 1504,3217165186014345728,TTauri*
CVSO 264,3227242278801719552,TTauri*
2MASS J05361541-0420501,3215643874238312832,TTauri*
2MASS J05353002-0434276,3209633393926493184,TTauri*
2MASS J05065697-0316404,3213015766569389568,TTauri*
CVSO 261,3232124454027084544,TTauri*
2MASS J05282858-0206103,3217104025680093184,TTauri*
V* V543 Ori,3220685100690997632,TTauri*
IRAS 04216+2603,152000786688289664,TTauri*
CVSO 1212,3236033424021450752,TTauri*
EM* SR   24B,6049069838478958592,TTauri*
2MASS J05363336-0545355,3017289983735159936,TTauri*
CD-25 11111B,6234854940998102912,TTauri*
Cl* NGC 2264     DS      84,3326716500225920000,TTauri*
2MASS J07040309-1128071,3046027128868157696,TTauri*
V* V1575 Ori,3017248064842864768,TTauri*
V* V801 Ori,3016945458625349760,TTauri*
CVSO 1291,3223575957279112064,TTauri*
CVSO 1048,3223856092225455744,TTauri*
Cl* NGC 2264    SBL     310,3326686748983465344,TTauri*
V* V1365 Tau,3402443684252171392,TTauri*
2MASS J05361878-0512182,3017371519392561664,TTauri*
V* V1427 Ori,3017266928339118208,TTauri*
2MASS J04311907+2335047,146050057959093632,TTauri*
2MASS J20505096+4423465,2163140453064444544,TTauri*
2MASS J05360282-0532543,3017343516207522560,TTauri*
Cl* NGC 2264    FMS     240,3326682591455164160,TTauri*
2MASS J05171478-0114273,3215228155763489536,TTauri*
2MASS J05395248-0232023,3216446689524900480,TTauri*
V* V1740 Ori,3209529112120792320,TTauri*
2MASS J05424292+2545070,3428924253577593344,TTauri*
GSC 06214-00210,6244440552088537600,TTauri*
V* V1118 Ori,3017264076480825856,TTauri*
EM* LkHA  182,2163284901405902336,TTauri*
2MASS J05360204-0430430,3209588623187361280,TTauri*
CD-55  5223,6064466716441232896,TTauri*
Brun 181,3209606073635844224,TTauri*
CVSO 759,3220580406568194432,TTauri*
2MASS J05572252+2117139,3423156383078588800,TTauri*
V* V1756 Ori,3209575463407640960,TTauri*
CVSO 529,3234361101195333760,TTauri*
2MASS J05344244-0543255,3017244182192323712,TTauri*
ATO J070.4402+23.0326,146487560507840768,TTauri*
V* V2528 Ori,3209574913651840640,TTauri*
2MASSI J1802395-230343,4069256667149811072,TTauri*
CVSO 1160,3236084894909364736,TTauri*
V* V2057 Ori,3209518598040871296,TTauri*
V* MO Mon,3326644245987098624,TTauri*
2MASS J22563865+6237140,2207220050319149312,TTauri*
Haro 4-408,3016979921442929536,TTauri*
V* V584 Ori,3016949616153731584,TTauri*
V* V705 Ori,3209390264416174976,TTauri*
Cl* NGC 2264    RMS    1732,3326594080768972416,TTauri*
IRAS 04108+2910,165563674934601856,TTauri*
2MASS J05064442-0329128,3213002744228578048,TTauri*
2MASS J05465148+0019213,3219206669868388096,TTauri*
2MASS J05303090-0211275,3217046129521656960,TTauri*
2MASS J02350799+7251034,545910619864172672,TTauri*
ESO-HA  342,3326708597481816192,TTauri*
2MASS J05322016-0121477,3217253009505825920,TTauri*
2MASS J05333439-0613526,3017154297116985088,TTauri*
