Star,Gaia_DR3_ID,otype
OGLE BLG-T2CEP-394,5974209417506422400,Type2Cep
OGLE BLG-T2CEP-729,4057185159040628352,Type2Cep
OGLE BLG-T2CEP-580,4060898660862301056,Type2Cep
OGLE BW10 V2,4050235184770155648,Type2Cep
V* V5596 Sgr,4068782670290360960,Type2Cep
Gaia DR3 6032808645623580928,6032808645623580928,Type2Cep
OGLE BLG-T2CEP-942,5976387485659225472,Type2Cep
ATO J305.8152+05.8952,4246647161574593408,Type2Cep
CRTS J052014.7+154939,3394029976463224320,Type2Cep
ATO J297.3709+14.9806,4317542095120057984,Type2Cep
OGLE LMC174.3   20509,4657814349469464576,Type2Cep
OGLE BLG-T2CEP-1037,4144113789577411712,Type2Cep
OGLE MBR145.28.01231,4653894105154551040,Type2Cep
V* V2546 Sgr,4089525717386434048,Type2Cep
OGLE GD-T2CEP-65,5874472412847722112,Type2Cep
OGLE BLG-T2CEP-670,4055847263834414208,Type2Cep
Gaia DR3 4107979130308365824,4107979130308365824,Type2Cep
Gaia DR2 5809152454235466880,5809152454237870208,Type2Cep
V* V1766 Aql,4269380698363059840,Type2Cep
OGLE BLG-T2CEP-458,4061590352370925696,Type2Cep
OGLE BLG-T2CEP-845,4042477748013139968,Type2Cep
ASAS J193435-1921.7,6869460685678439040,Type2Cep
V* CO Tri,134042806868139008,Type2Cep
V* PP Aql,4304937396883833344,Type2Cep
Gaia DR3 5985928910128221824,5985928910128221824,Type2Cep
CRTS J211255.1-240637,6804415394544190976,Type2Cep
OGLE BLG-T2CEP-527,4053242039755202816,Type2Cep
ATO J273.5107-04.5381,4173543352184799104,Type2Cep
CRTS J213412.0-584555,6458585967900912384,Type2Cep
OGLE BLG-T2CEP-1245,5958178130007521024,Type2Cep
OGLE BLG-T2CEP-1365,6736647648207615872,Type2Cep
Gaia DR3 5280412430713809024,5280412430713809024,Type2Cep
OGLE LMC537.18.006767,4654835806814404864,Type2Cep
Cl* NGC 2419    SAW V18,899283619691731328,Type2Cep
V* V1519 Sco,4056416634771816704,Type2Cep
OGLE BLG-T2CEP-480,4055453569976437120,Type2Cep
V* V445 Cen,6157795870424183552,Type2Cep
Gaia DR3 5244228671278450944,5244228671278450944,Type2Cep
V* FK Oph,4111915966009505664,Type2Cep
OGLE BLG-T2CEP-1014,4120454876433552128,Type2Cep
OGLE BLG-T2CEP-695,4060759263315694592,Type2Cep
Gaia DR3 4655308906110642176,4655308906110642176,Type2Cep
OGLE BLG-T2CEP-152,4040843392592539136,Type2Cep
OGLE BLG-T2CEP-835,4040464542110762112,Type2Cep
CRTS J133210.0-410204,6160970370950237184,Type2Cep
OGLE BLG-T2CEP-121,4043623031076890240,Type2Cep
ATO J281.8762-13.8889,4105077690865842304,Type2Cep
OGLE LMC108.3   17983,4658827545109309696,Type2Cep
OGLE BLG-T2CEP-675,4054042896583546368,Type2Cep
V* BE CrA,6716879292429356928,Type2Cep
Gaia DR3 5887671397119565184,5887671397119565184,Type2Cep
Gaia DR3 5407158771054299648,5407158771054299648,Type2Cep
LINEAR 12273655,1171164605830596864,Type2Cep
OGLE BLG-T2CEP-671,4053967408191969280,Type2Cep
OGLE BLG-T2CEP-984,5959453494783774592,Type2Cep
OGLE BLG-T2CEP-525,4116292395884388864,Type2Cep
OGLE BLG-T2CEP-645,4117277455244608000,Type2Cep
OGLE LMC148.3     131,4656221191458263552,Type2Cep
OGLE BLG-T2CEP-952,5973830979346158720,Type2Cep
ATO J296.5672+19.6668,1824960745472142464,Type2Cep
V* V420 Cen,5372095688833746688,Type2Cep
OGLE BLG-T2CEP-207,4042396006332146560,Type2Cep
Gaia DR3 2008121927881687168,2008121927881687168,Type2Cep
OGLE BLG-T2CEP-839,4063518590823379968,Type2Cep
CRTS J181607.7-554355,6652381596744276480,Type2Cep
OGLE GD-T2CEP-57,5852901128621205760,Type2Cep
OGLE GD-T2CEP-300,4513754102629083648,Type2Cep
OGLE GD-T2CEP-125,5964921262971961344,Type2Cep
ATO J260.4392-15.5935,4136939132623615872,Type2Cep
Gaia DR3 2060555781967222400,2060555781967222400,Type2Cep
Cl* NGC 6205    SAW V2,1328057867076964864,Type2Cep
OGLE BLG-T2CEP-690,4060806198740630400,Type2Cep
V* V2739 Oph,4061379727178494720,Type2Cep
IRAS 10081-6359,5252402131502230400,Type2Cep
OGLE LMC112.7    9733,4652177595707500544,Type2Cep
