Star,Gaia_DR3_ID,otype
NSV 25425,1871678650904773120,Variable*
NSV 25451,1871454483662242816,Variable*
NSV 25487,1868826002347009920,Variable*
NSV 13607,1965060998084720640,Variable*
NSV 25502,1868554560412872448,Variable*
NSV 25531,1965032200321119232,Variable*
NSV 25532,1965032204623302912,Variable*
HD 203732,1964111260554130048,Variable*
BD+38  4509,1964352122317564544,Variable*
NSV 25598,1965458780771396864,Variable*
HD 206749,1954523003760107776,Variable*
BD+42  4234,1960674943116655616,Variable*
BD+41  4360,1960108419747684352,Variable*
HD 215566,1982328209714835840,Variable*
NSV 14286,1982310033412784640,Variable*
NSV 25986,1935684693081145856,Variable*
HD 222641,1926649147044326784,Variable*
GSC 03253-01387,389969565757425024,Variable*
HD   5006,377521891539083392,Variable*
SV* SVS   165,346144441023696512,Variable*
NSV   670,345944329907147904,Variable*
BD+40   430,344963668614141312,Variable*
HD  16834,334285452202778880,Variable*
BD+38   526,334215800716228224,Variable*
BD+36   587,141511205240929792,Variable*
BD+36   590,142994682649614080,Variable*
NSV   923,141619915156106240,Variable*_Candidate
SV* SVS  1985,141983789082233472,Variable*
GSC 02699-01426,1870995751106194432,Variable*
[MS84] 44,1870808589302687872,Variable*
NSV 25400,1872602103235060480,Variable*
BD+40  4430,1968583077425787776,Variable*
HD 201937,1968208831155870080,Variable*
HD 201212,1968452476060992640,Variable*
NSV 13651,1968705501173898752,Variable*
NSV 25641,1967889045070529792,Variable*
ATO J325.5046+42.8250,1966871855071297280,Variable*
BD+45  3738,1973626812135375360,Variable*
HD 209945,1962865754393950080,Variable*
HD 211431,1962222299572580352,Variable*
LD 200,1987425030229616768,Variable*
*   8 And,1942705624581332224,Variable*
BD+48  4048,1942875086811223424,Variable*
BD+47  4188,1942080758378987648,Variable*
HD     15,393368946475346304,Variable*
HD   1240,394372452695158656,Variable*
BD+47    38,392765829986047616,Variable*
2MASS J00292129+4938411,391612614088716928,Variable*
BD+47   178,390561171733914880,Variable*
HD   5273,402441360511386368,Variable*
BD+42   431,346451170407090304,Variable*
HD  13843,351331318407305088,Variable*
Cl* NGC 1039     JP     162,337151363620248448,Variable*
Cl* NGC 1039      W     631,337071094974940416,Variable*
HD  17258,336025154473900160,Variable*
IRAS 20361+3736,2063124722169916928,Variable*
NSV 25162,2064177229678146560,Variable*
V* V1389 Cyg,2064185750891809408,Variable*
GSC 03176-00878,1969321193324345600,Variable*
V* V359 Cyg,1970279314637843072,Variable*
HD 202253,1970219769209144320,Variable*
IRAS 21240+4539,1972076496438919040,Variable*
BD+47  3650,1976126998489833088,Variable*
LD 189,1975757115919192448,Variable*
NSV 13994,1976508907000048640,Variable*
HD 211263,1999981246867574912,Variable*
NGC  7243   410,1999994887685045504,Variable*
Cl* NGC 7243    JFA    1935,2000765920211473664,Variable*
V* SY Lac,2000168851034986624,Variable*
Cl* NGC 7243    JFA    2040,2000015709686750464,Variable*
HD 215953,1988557767726186752,Variable*
NSV 14308,1989613951722661632,Variable*
HD 216500,1989190330507822592,Variable*
V* KO And,1989409030243339008,Variable*
HD 236138,1991352451401026304,Variable*
NSV 14604,1943208857309979392,Variable*
HD 221726,1993211347608465280,Variable*
HD 221913,1944792772529493248,Variable*
NSV    84,395935206617053568,Variable*
GSC 03259-01582,395344631434561664,Variable*
* nu. Cas,415024618257029888,Variable*
BD+50   289,406574493438419712,Variable*
HD  10404,405331151946612608,Variable*
BD+47   575,355027876500167808,Variable*
HD  14797,354005399405885184,Variable*
BD+43   528,340466906573723776,Variable*
HD  15992,340573902798790400,Variable*
NSV   910,337300759762993024,Variable*
HD  18482,144057468012449536,Variable*
BD+41   623,240000199817922048,Variable*
SV* ZI   175,239862894008480640,Variable*
V* V1973 Cyg,2067571731310201472,Variable*
HD 229097,2067535275628042880,Variable*
* gam Cyg,2067518817314952576,Variable*
NSV 13049,2061230091843363840,Variable*
Schulte  2,2067845887660714880,Variable*
HD 197376,2066372988753493248,Variable*
NSV 25185,2069531988739657600,Variable*
RLP 1508,2068034591342762112,Variable*
[AFM2007] 581,2067785311442040320,Variable*
BD+42  3876,2066645805082059904,Variable*
HD 199098,2163281710240891776,Variable*
V* V352 Cyg,2163448213241856128,Variable*
V* V351 Cyg,2163056997571938176,Variable*
NSV 13483,2162592518313650432,Variable*
NSV 13414,2163340190534214400,Variable*
BD+45  3434,2164274191313550976,Variable*
NSV 13599,2163982030450325504,Variable*
ATO J320.7793+46.3465,1972332480795061248,Variable*
NSV 13602,2164539860805177088,Variable*
V* V2440 Cyg,1972332442127720576,Variable*
HD 204917,1978555647899068544,Variable*
Cl* NGC 7092   PLAT     525,1978616911316182912,Variable*
Cl* NGC 7092   PLAT     964,2170779211332457856,Variable*
