Star,Gaia_DR3_ID,otype
2QZ J030827.0-273922,5071765320356650368,WhiteDwarf
Gaia DR2 4174460100043052928,4174460100043052928,WhiteDwarf
Gaia DR2 4975647731843619840,4975647731843619840,WhiteDwarf
Gaia DR2 1677019669200879744,1677019669200879744,WhiteDwarf
SDSS J160117.73+363242.6,1372418041652437120,WhiteDwarf
Gaia DR2 962778663849158016,962778663849158016,WhiteDwarf
Gaia DR2 6067715360966459648,6067715360966459648,WhiteDwarf
Gaia DR2 5821532298024784000,5821532298024784000,WhiteDwarf
GALEX J235938.3-504345,6523501791537164032,WhiteDwarf
GALEX J171541.3+102725,4539744525947628544,WhiteDwarf
Gaia DR2 3456472994151996544,3456472994151996544,WhiteDwarf
Gaia DR2 2423639260470066816,2423639260470066816,WhiteDwarf
Gaia DR2 505272665808610304,505272665808610304,WhiteDwarf
GALEX J042138.0-241015,4896391021000766720,WhiteDwarf
GALEX J050407.8+100831,3291625586619540096,WhiteDwarf
GALEX J180337.5+372328,4609689442751436032,WhiteDwarf
Gaia DR2 6143533039953569664,6143533039953569664,WhiteDwarf
GALEX J124433.8+270923,3961476455699563136,WhiteDwarf
Gaia DR3 4662157454731788672,4662157454731788672,WhiteDwarf
Gaia DR2 4238616294286024448,4238616294286024448,WhiteDwarf
Gaia DR2 6374194155501318016,6374194155501318016,WhiteDwarf
GALEX J032146.2-752657,4639489643837368832,WhiteDwarf
SBSS 1309+544,1564048835176931200,WhiteDwarf
Gaia DR2 5315222002485437952,5315222002485437952,WhiteDwarf
Gaia DR2 5518292149339393536,5518292149339393536,WhiteDwarf
2QZ J220754.2-312628,6613206336744205440,WhiteDwarf
GALEX J225705.8+032415,2656739363396139520,WhiteDwarf
SDSS J130002.18+235940.8,3957067310993650048,WhiteDwarf
SDSS J220306.41+435218.5,1962514146890419968,WhiteDwarf
SDSS J101353.65+440531.5,808676096261915904,WhiteDwarf
Gaia DR2 5992176335189741952,5992176335189741952,WhiteDwarf
GALEX J230149.7-220044,2396675180908237952,WhiteDwarf
GALEX J111201.7+420403,777698112063307520,WhiteDwarf
