Star,Gaia_DR3_ID,otype
EM* AS  431,2064671253991921408,WolfRayet*
HD 195177,2064136925704910080,WolfRayet*
EM* AS  422,2067745076187793024,WolfRayet*
MR 110,2067824545964503168,WolfRayet*
MR 112,2067867358199590400,WolfRayet*
WR 150,1980522738604744704,WolfRayet*
WR 142a,2068434332539101056,WolfRayet*
WR 138a,2062560122958679936,WolfRayet*
WR 149,2165537770680635904,WolfRayet*
HD 213049,2007494038022005248,WolfRayet*
HD 211853,2006219978921880192,WolfRayet*
HD 211564,2006109684151966720,WolfRayet*
HD 214419,2006888825592397440,WolfRayet*
HD 193793,2081261372633822592,WolfRayet*
MR 114,2198726735325037440,WolfRayet*
MR 119,2014674226896884864,WolfRayet*
HD 219460B,2013906561629759232,WolfRayet*
[MAC92]  3,428243084485915648,WolfRayet*
[MAC92] 11,428242839672739968,WolfRayet*
RSMV  2,428242878328339200,WolfRayet*
HD   6327,426378793809476096,WolfRayet*
HD   9974,508955656105078912,WolfRayet*
HD 197406,2182307453299864064,WolfRayet*
EM* AS  513,2012912500041834752,WolfRayet*
BD+62  2296B,2016055591466867712,WolfRayet*
HD  17638,460606178458202496,WolfRayet*
HD  16523,454818035714964992,WolfRayet*
HD   4004,524101256981955200,WolfRayet*
HD  45166,3324744805291306368,WolfRayet*
HD  50896,2922367976673391232,WolfRayet*
HD  56925,3032940844556081408,WolfRayet*
V* V358 CMa,5617746515133032448,WolfRayet*
HD  62910,5595121310305893760,WolfRayet*
HD  63099,5588584477463342592,WolfRayet*
HD  65865,5597770416085979648,WolfRayet*
[AM85] IC 1613 6,2539058702595056640,WolfRayet*
[HBH95] M33-Z263  1028,303281629479817088,WolfRayet*
LGGS J013241.95+304024.6,315298741815257728,WolfRayet*
[MJ98] WR  54,303378077266655104,WolfRayet*
[MJ98] WR  74,303384399460725376,WolfRayet*
[MJ98] WR  78,303379795253608960,WolfRayet*
MCA 14,303367631905959168,WolfRayet*
[WC72] 16,303380722964869504,WolfRayet*
[WC72] 24,303365879558402048,WolfRayet*
[MC83] 78,303372098673808896,WolfRayet*
[CM81] 14,303371853859276288,WolfRayet*
[CM81]  9,303271076746004352,WolfRayet*
[WC72] 13,303365982642539520,WolfRayet*
LGGS J013305.67+302857.6,303283072589024512,WolfRayet*
[MC83] 44,303365673399990400,WolfRayet*
[MC83] 27,303283484905181184,WolfRayet*
[MC83] 46,303377939827614208,WolfRayet*
[MC83] 57,303381513241419008,WolfRayet*
LGGS J013416.28+303646.4,303367150869502336,WolfRayet*
[MC83] 21,303383540467468160,WolfRayet*
[WC72]  4,303378111625112320,WolfRayet*
[WC72]  5,303365570320851200,WolfRayet*
[WC72]  6,303380654247176576,WolfRayet*
[MC83]  7,303284000301987584,WolfRayet*
[MC83]  8,303257852541824896,WolfRayet*
[MC83] 16,303282797710866304,WolfRayet*
[MC83] 22,303385430250930944,WolfRayet*
2MASS J01331580+3056445,315402886182778880,WolfRayet*
[WC72]  3,303365467242501632,WolfRayet*
[WC72]  9,303377905466684672,WolfRayet*
[WC72]  7,303380654247170048,WolfRayet*
[WC72]  8,303365570320852480,WolfRayet*
[MC83] 45,303379795252117248,WolfRayet*
[WC72] 12,303378042906861952,WolfRayet*
[WC72] 14,303378042909640960,WolfRayet*
[WC72] 15,303379760892358144,WolfRayet*
[WC72] 19,303365810841369984,WolfRayet*
[MC83] 58,303381204002961536,WolfRayet*
[MC83] 59,303381307082184448,WolfRayet*
[WC72] 23,303366154437207552,WolfRayet*
LGGS J013357.75+303416.3,303365948278742400,WolfRayet*
[WC72] 25,303368216021526016,WolfRayet*
[MC83] 72,303363474378301056,WolfRayet*
[CM81] 12,303386770278589056,WolfRayet*
[MC83] 77,303376153120455680,WolfRayet*
FSZ  35,303283892928498688,WolfRayet*
[HS80] B337,303381547598471424,WolfRayet*
IFM-B 1342,303387457477633792,WolfRayet*
IFM-B 2124,303371956937302912,WolfRayet*
[HS80] B92 a,315395116586315392,WolfRayet*
[HS80] B52,303383368668789120,WolfRayet*
[MJ98] WR 103,303379657813150336,WolfRayet*
[MJ98] WR 122,303367872422972032,WolfRayet*
[HS80] B516,303367941146451328,WolfRayet*
D33 J013354.8+303222.6,303365742119509504,WolfRayet*
[MC83] 39,303381032207596928,WolfRayet*
[MC83] 26,303382337874422144,WolfRayet*
[AM85] M 33  2,303380894763572736,WolfRayet*
[WC72] 10,303380963484826368,WolfRayet*
[AM85] M 33 15,303365948281528320,WolfRayet*
[HS80] R18,303370552486560896,WolfRayet*
2MASS J01350026+3043060,303375191051233920,WolfRayet*
NAME Romano Star,303371991297027328,WolfRayet*
[MJ98] B14,303384536899872256,WolfRayet*
[MJ98] D16,303287603780465408,WolfRayet*
[MJ98] B4,303381513243237504,WolfRayet*
[MJ98] WR  73,303379795252090752,WolfRayet*
LGGS J013327.26+303909.3,303379211136522368,WolfRayet*
[MJ98] C21,303381032206579200,WolfRayet*
[MJ98] E5,303282728992044032,WolfRayet*
[MJ98] WR  60,303365467241646976,WolfRayet*
[MJ98] WR  86,303366016998302208,WolfRayet*
[MJ98] X6,303379554733986304,WolfRayet*
D33 J013401.7+303619.9,303367666264622208,WolfRayet*
LGGS J013401.39+304004.4,303380070129910144,WolfRayet*
[MAP95] M 33 OB66    61,303381375799819264,WolfRayet*
MLA  548,381274696521893632,WolfRayet*
MAC OB  33-3,369278642411408768,WolfRayet*
MLA  974,369278509267646208,WolfRayet*
[MS83]  1,369283560147789056,WolfRayet*
MLA  472,381284282895865472,WolfRayet*
MLA  376,381168524934267392,WolfRayet*
MAC OB  78-5,381156773900318976,WolfRayet*
MLA  206,381128495835516160,WolfRayet*
MLA   95,381137871748790016,WolfRayet*
[AMB2011] HII 1843,369249028614971904,WolfRayet*
LGGS J004114.95+404448.2,369145021682757504,WolfRayet*
MLA  578,381271672869825536,WolfRayet*
MAC OB 138-1,381118084834216448,WolfRayet*
LGGS J003945.82+402303.2,381119527945783296,WolfRayet*
MAC OB  78-3,381153715883522560,WolfRayet*
MAC OB  69-1,381167116181959040,WolfRayet*
LGGS J003939.97+403450.4,381130690563360000,WolfRayet*
LGGS J004247.12+405657.1,369244321328381824,WolfRayet*
LGGS J004403.39+411518.8,369255179008434688,WolfRayet*
LGGS J004410.91+411623.2,369277959511860608,WolfRayet*
LGGS J004436.52+412202.0,369280089816321408,WolfRayet*
BA 1-458,381158732405479296,WolfRayet*
USNO-B1.0 1315-00014040,369286098485819904,WolfRayet*
MLA  947,369285411280120832,WolfRayet*
[VRJ2006] M31V-J00444485+4128005,369281670368356480,WolfRayet*
MAC 1-557,381153887682225664,WolfRayet*
