Star,Gaia_DR3_ID,otype
RX J2130.6+4710,1978279601759271168,XrayBin
V* MU Cam,1114243404258933376,XrayBin
1ES 0851+39.2,719893044876142848,XrayBin
2MASS J03261572-2120385,5099152097716598528,XrayBin
CGF  1-3,4860386997351333760,XrayBin
RX J0500.0-3624,4824530548781283968,XrayBin
*  14 Aur C,180702438220219904,XrayBin
V* V647 Aur,942131003710511232,XrayBin
V* V520 Mon,3112116539430781824,XrayBin
RX J0702.0+1257,3160943617433900672,XrayBin
* y Pup,5585775259613338368,XrayBin
RX J0806.3+1527,654879021108862464,XrayBin
V* WX Pyx,5702723680027513344,XrayBin
HD   8357,2566277181659646208,XrayBin
V* HY Leo,614650192750888320,XrayBin
RX J1039.7-0507,3776795812613678976,XrayBin
[SGT2004] J122942.31+080008.0,3901171262280622336,XrayBin
2XMM J122934.4+075851,3901171056119715200,XrayBin
[MKZ2003] OID  209,3901171575810324224,XrayBin
[MKZ2003] OID  274,3901171365359838464,XrayBin
2XMM J123541.1+123451,3931688074362978304,XrayBin
Feige  93,1226836624756377984,XrayBin
[CGI2005] 16,6024739574602884352,XrayBin
2MASS J15063196+0137384,1153525170852966912,XrayBin
V* V2306 Cyg,2034071055160353792,XrayBin
V* BM CrB,1374430388449392000,XrayBin
RX J0925.7-4758,5422337322910734080,XrayBin
2E  1550,4659274599672437632,XrayBin
2MASS J00442806-7348031,4685770978788379136,XrayBin
V* HK Mus,5856527249167986176,XrayBin
V* IK Mus,5856527421006001152,XrayBin
V* GZ Mus,5856528692316764160,XrayBin
V* IL Mus,5856530272864388992,XrayBin
V* NY Lup,5988071549046301184,XrayBin
NGC  6838  1038,1821609021711478016,XrayBin
2MASS J03382919-3528085,4860293263986483072,XrayBin
2XMM J122956.8+075728,3901167998103061504,XrayBin
2MASS J11182121-5437286,5346688272924690432,XrayBin
SDSS J223051.15+125706.8,2730988284108725632,XrayBin
[JPB2009] 187.4340514+8.0115934,3901171365359838976,XrayBin
[JPB2009] 187.4599436+8.0037423,3901171335292144256,XrayBin
MAXI J1543-564,5884240474106548736,XrayBin
V* V418 Gem,883124509614713728,XrayBin
SWIFT J1741.5-6548,5812958722960763008,XrayBin
UCAC4 217-124174,5942822178818514816,XrayBin
2MASS J16375079-4655452,5942796718250371968,XrayBin
OGLE GD-LPV-14393,5942719752404296960,XrayBin
TYC 8505-1906-1,4778663592299091968,XrayBin
IGR J17404-3655,5962456016169162496,XrayBin
2MASS J12380064-6821597,5856528486157928832,XrayBin
[VV2017] 147,5856529173352699136,XrayBin
[VV2017] 78,5856527661524187392,XrayBin
[VV2017] 51,5856527386646246016,XrayBin
[VV2017] 13,5856527455365731840,XrayBin
SWIFT J0732.6-1330,3033335947187896576,XrayBin
MAXI J0903-531,5311384333263075840,XrayBin
