Star,Gaia_DR3_ID,otype
Gaia DR3 5514336243948080000,5514336243948080000,YSO_Candidate
2MASS J20515805+4404210,2162942132950594688,YSO
Cl* NGC 6530    WFI   15690,4066064574423391872,YSO_Candidate
Gaia DR3 5527101711385735808,5527101711385735808,YSO_Candidate
BKLT J162326-244822,6049216730657682816,YSO
2MASS J02321625+6155150,465933896413595904,YSO
2MASS J18180887-1652522,4097388565480344448,YSO_Candidate
[WSI2008] 435,4658764155716089600,YSO
2MASS J22532146+6307222,2208057186684769152,YSO
[RMP2011] J022539.46+610905.40,513453964328388736,YSO
2MASS J22553737+6256449,2207289938026624384,YSO
2MASS J22570934+6240362,2207243685521214336,YSO
2MASS J16111687-2639331,6042654501670349568,YSO
Haro 4-426,3016882683383478912,YSO
2MASS J10434556-5949098,5350353529291487232,YSO
IRAS 22213+6142,2204702615369579136,YSO
Gaia DR3 5519646232277163136,5519646232277163136,YSO_Candidate
CXOU J181838.0-134728,4146599166886269184,YSO
2MASS J18202461-1611086,4097809437930175104,YSO
NGC  2169    17,3345191800261553280,YSO
[GMM2009] VY Mon 13,3327886110012879360,YSO
Gaia DR3 4152631293845356544,4152631293845356544,YSO
GES J08070036-4745250,5517730298904870400,YSO_Candidate
Cl* NGC 6611    GMD     565,4146612940852653440,YSO
2MASS J05372498-0252023,3216099931045051520,YSO
2MASS J05413595-0840584,3015312439044018560,YSO
2MASS J18331545-3600366,6733430992578156544,YSO
SSTc2d J182854.9+010855,4273724319034635008,YSO_Candidate
Gaia DR3 5518810672158212352,5518810672158212352,YSO_Candidate
2MASS J18043050-2421456,4066068839350622080,YSO
2MASS J22573612+6230518,2207226922266303488,YSO
ITG 29,148162838270505600,YSO
2MASS J16253253-2326264,6050944166504697728,YSO
2MASS J06130695+1756583,3373360738408534400,YSO
2MASS J17242729-3409032,5976052370789014016,YSO
UCAC4 197-125782,5935057668182928256,YSO
2MASS J21460259+5743083,2178312996278729728,YSO
2MASS J20581663+4351469,2162127738429383680,YSO
2MASS J22560428+6242388,2207268738067742976,YSO
COUP   727,3017360970945323264,YSO
2MASS J05350901-0520119,3017365265917384704,YSO
2MASS J16211645-2417453,6049304962168199552,YSO
Parenago  1329,3017154567696864256,YSO
2MASS J05420024-0843290,3012332315855756032,YSO
2MASS J17241618-3413112,5976051619173962240,YSO
LS   V +33   20,181174914684824576,YSO
2MASS J18202780-1608576,4098003119470212864,YSO
[RPG2014] 55196,3350964442465972224,YSO
2MASS J02220660+6107253,513491205987245056,YSO
2MASS J22560527+6238379,2207267535476955776,YSO
2MASS J22551337+6225062,2207213826905054208,YSO
[JKH2016] 036.7714+61.7175,513579544875364224,YSO
Cl* NGC 2264    SBL    2367,3326741209166285184,YSO
2MASS J05465644+0005120,3219154610570322304,YSO
2MASS J06321421+0452210,3131331501555968128,YSO
2MASS J03012058+6029318,463121066489346304,YSO
2MASS J05335756-0640055,3016752528696057216,YSO
Haro 4-492,3015743177020629504,YSO
2MASS J06344557+0424223,3130539024252842368,YSO
2MASS J22562601+6243084,2207268424533229440,YSO
2MASS J05285452-0141058,3220216085967483136,YSO
2MASS J18021421-2301438,4069267971505953920,YSO
2MASS J07523586-2621584,5602027965629198080,YSO
HD  67927,5519259032385114240,YSO
2MASS J22572750+6243213,2207244922469830656,YSO
2MASS J18203088-1609051,4098003119470223232,YSO
Gaia DR3 5517630896179795840,5517630896179795840,YSO_Candidate
2MASS J05470683+0046107,3219612969479121024,YSO
2MASS J02335256+6120492,465485261308803072,YSO
NGC  2264   143,3326740792561056128,YSO
2MASS J19290110+1756068,4323022091099027072,YSO
CD-33 10685C,6014696841553696896,YSO
2MASS J02345262+6129149,465863149710896256,YSO
Gaia DR2 5966548230950791296,5966548230950791296,YSO
SPICY 51409,5975478636177428736,YSO
2MASS J05404711+0913511,3336333275593819648,YSO
2MASS J05313629+3412071,182582942403899392,YSO
Gaia DR3 5519267106924649600,5519267106924649600,YSO
IRAS 10423-6011,5254210067899430016,YSO
2MASS J22543786+6237059,2207269592761702016,YSO
Gaia DR2 5515083224659376896,5515083224659376896,YSO_Candidate
2MASS J02332314+6139223,465540580489235072,YSO
2MASS J17200176-3602359,5975277627417979776,YSO
Gaia DR2 5517741603258913920,5517741603258913920,YSO_Candidate
2MASS J18185707-1340445,4152618026680623104,YSO
2MASS J05414966-0153271,3216632506988313088,YSO
2MASS J16021575-2343576,6236334643136891392,YSO_Candidate
Gaia DR3 5533929605575726464,5533929605575726464,YSO_Candidate
2MASS J18043984-2422264,4066065845728605440,YSO
Cl* NGC 2264    SBL    2002,3326717088630019968,YSO
2MASS J17203044-3552487,5975287836549951488,YSO
[BZR99] S Ori 35,3216127315754927616,YSO
2MASS J20590895+5222392,2170297281624344960,YSO
2MASS J18443848-3621556,6730572335374109440,YSO
2MASS J02573101+1943459,84139100818909312,YSO
JW  296,3017360455558400896,YSO
2MASS J18043021-2417475,4066070037622905728,YSO
2MASS J06124663-0610347,3019876447389413888,YSO
2MASS J02492190+6045041,464878056010667008,YSO
Haro 4-202,3017204427975080192,YSO
2MASS J18033133-2416594,4066026989194084096,YSO
2MASS J05350665-0421584,3209652772815483392,YSO
2MASS J15482445-2235495,6240396032927158272,YSO
Gaia DR3 5526485366396959872,5526485366396959872,YSO_Candidate
2MASS J06342781+0421277,3130538410073041664,YSO
2MASS J18360950-0639327,4255946354183454976,YSO
CPD-24  2196,5616537361583899520,YSO
2MASS J08465879-4342374,5523982461313637888,YSO
2MASS J08471426-4318208,5524008785171311232,YSO
2MASS J06113718+2038561,3375021275844639232,YSO
Gaia DR3 5527364082344463232,5527364082344463232,YSO
Gaia DR3 5520978599853192064,5520978599853192064,YSO
2MASS J06125584+1750061,3373358921639433472,YSO
IRAS 07222-2610,5613159386985084160,YSO
UCAC4 554-022774,3375114017075491200,YSO
Gaia DR3 2203406188083035776,2203406188083035776,YSO
2MASS J16190179-2312373,6050447840085127680,YSO
2MASS J06412177+1017003,3326945404797170816,YSO
2MASS J21515566+6227138,2204362144726601984,YSO
CXOU J052308.0+332839,181175571815425664,YSO
Gaia DR3 5519354861695618688,5519354861695618688,YSO_Candidate
Cl* NGC 6530    SCB     822,4066065540815730944,YSO
2MASS J10452819-5941163,5350334975035952768,YSO
2MASS J04294307+3513057,173361377037362432,YSO
Cl* NGC 6530    SCB     366,4066117492744086784,YSO
[PSP2020] Star  66,3026538796362874880,YSO
2MASS J05230644+3329010,181175773682057472,YSO
2MASS J05383595-0658156,3016107626469741440,YSO
HD  67162A,5596651491207472512,YSO
GBS-VLA J054643.62+000528.3,3219148876788465408,YSO
2MASS J03524249+2507029,66888416217848448,YSO
2MASS J22562860+6244405,2207269253463819008,YSO
2MASS J03274858+4847186,441394789743992064,YSO
Cl* NGC 2264    FMS  2-1458,3326696541507345152,YSO
Parenago  1754,3017363612347069440,YSO
2MASS J03445997+3222328,216708798329066368,YSO
ASAS J161439-2524.9,6049502122647926912,YSO
2MASS J16044966-1850465,6248838255002167936,YSO
2MASS J02364569+6113505,465841365636822784,YSO
2MASS J05411070-0738454,3015825262435479040,YSO
2MASS J22561122+6233290,2207219427542620544,YSO
Cl* NGC 6530    WFI   14638,4065971596967939072,YSO
2MASS J07184808-2458347,5616525193932492416,YSO
CXOU J203914.1+421652,2066438645917644928,YSO
Gaia DR3 5530602964421400192,5530602964421400192,YSO_Candidate
Gaia DR3 5521206473639845248,5521206473639845248,YSO_Candidate
[DM99] 206,3336420656704761856,YSO
[PGZ2001] J160815.3-203811,6243914916810909568,YSO
HD  64759,5518309878968054144,YSO
Gaia DR3 5516729807740628224,5516729807740628224,YSO_Candidate
IRAS 06294+0352,3130353004923682944,YSO
2MASS J05414309+3543169,3455729964808562304,YSO
2MASS J21532499+4715299,1974546068276747008,YSO
2MASS J22541486+6241544,2207276915685339776,YSO
Cl* NGC 6530    WFI   26045,4066070140701360512,YSO
Gaia DR3 3047854963872787456,3047854963872787456,YSO
2MASS J10440659-5938092,5350362222308362752,YSO
Cl* IC  348    LRL     248,216678493039858688,YSO
2MASS J20400455+4127350,2066329420605081216,YSO
2MASS J16152116-2503401,6049619151915113600,YSO
2MASS J16011994-1818427,6248366800734709504,YSO
2MASS J21035408+5015291,2168758339010499712,YSO
2MASS J05351577-0524247,3017361005316937216,YSO
2MASS J22542075+6248589,2207287223606741120,YSO
2MASS J10441587-5913207,5350408990237388672,YSO
NGC  6618   341B,4097815279072333568,YSO
2MASS J07182231-2452135,5616541416033058944,YSO
Gaia DR3 5530675570850159616,5530675570850159616,YSO_Candidate
2MASS J07184026-2457277,5616536979322734976,YSO
2MASS J05424418-0944491,3011919861556821632,YSO
[DM99]  52,3337911388313567872,YSO
2MASS J08492477-4337163,5523880962646380928,YSO
UCAC4 436-010349,3216803446689221760,YSO
2MASS J22540793+6249039,2207287257966463616,YSO
2MASS J22591404+6219470,2207031239255671680,YSO
2MASS J06123164+1755525,3373407570731197440,YSO
Cl* NGC 6611    GMD     799,4146599991522442368,YSO
Gaia DR3 5517511564808105344,5517511564808105344,YSO_Candidate
2MASS J05351026-0521571,3017364406930994304,YSO
2MASS J08502322-4326232,5523889797398450048,YSO
2MASS J02321999+6131102,465537969148980480,YSO
2MASS J10451062-5945126,5350357759863437440,YSO
[SSP2021] M198,465526694852806784,YSO
2MASS J06081430-0628249,3019946640037534848,YSO
2MASS J02511865+6020477,464573216415174656,YSO
IRAS 02048+5957,507571748921378688,YSO
2MASS J19243916+1419273,4319650408644837632,YSO
2MASS J21030689+7658142,2278501457862871168,YSO
2MASS J08033106-3206478,5595804523656035584,YSO
2MASS J08092276-4916309,5514364865610742784,YSO
2MASS J20490132+4506478,2163236424114477056,YSO
2MASS J05350786-0517053,3209520762704383488,YSO
2MASS J08124401-4933367,5514287968515004416,YSO_Candidate
Gaia DR3 5521718124503964288,5521718124503964288,YSO_Candidate
Gaia DR3 5526753750314424320,5526753750314424320,YSO_Candidate
[YP2015] 8,2894415126912656128,YSO
2MASS J02314991+6141130,465552572037660032,YSO
2MASS J02322896+6130447,465537900429505664,YSO
2MASS J03230655+4844168,435436536231088256,YSO
Gaia DR3 5518926292675790464,5518926292675790464,YSO_Candidate
2MASS J18284156-0341507,4257960281528419072,YSO
2MASS J22542570+6248009,2207284298730278528,YSO
CXOU J063149.1+045857,3131383281678441600,YSO
2MASS J05353283-0518198,3017366429845822592,YSO
BKLT J162327-245216,6049028404933451776,YSO
CXOU J052246.2+332440,181174025627366656,YSO
