Star,Gaia_DR3_ID,otype
HD 200102,2163041398250313472,YellowSG
* phi Cas,413828761929696256,YellowSG
HD   6474,523424885526785536,YellowSG
HD  18391,461063747095295744,YellowSG
HD  12399,515052757321409024,YellowSG
[HSG2019] 10584-8.1,1070474698213521280,YellowSG
HD  57118,2931284534938925696,YellowSG
CD-22  4589,5618770023018250752,YellowSG
V* R Pup,5598101850119654272,YellowSG
[HS53] A,303285713994358144,YellowSG
VHK 19,303381337147887104,YellowSG
[S92b] S297,303284000302684288,YellowSG
Pul -3  120144,303365462948655488,YellowSG
[HS80] B324,303381543306316416,YellowSG
IFM-B 1582,303360927460452224,YellowSG
[SM2006] W11409,303390584213811712,YellowSG
2MASS J01335892+3041392,303380310652083072,YellowSG
[HS80] 110C,303269637932066688,YellowSG
LGGS J004427.76+412209.8,369280875794443136,YellowSG
DIRECT V9102 M31C,369279363965928448,YellowSG
LGGS J004440.60+412704.1,369281528629628544,YellowSG
[BS63] A207,380731705294805632,YellowSG
NGC  6231    92,5966502635575970304,YellowSG
* iot01 Sco,5958043164999014400,YellowSG
HD 159378,4053759841074432640,YellowSG
BD-08  4647,4156513944285011328,YellowSG
HD 331777,2031014893857673600,YellowSG
HD 269879,4660276052943084928,YellowSG
HD 270050,4659428810505409408,YellowSG
HD 271182,4660601611448785152,YellowSG
SOI  22,4662117116432435456,YellowSG
HD 269840,4657702886498144256,YellowSG
CPD-69   463,4657679551902223616,YellowSG
HD 269953,4657639114815408896,YellowSG
CPD-69   496,4657625783228777856,YellowSG
[MG73]  59,4657658321911656192,YellowSG
HD 270237,4659060504137085952,YellowSG
HD 270356,4658980244094500992,YellowSG
[W60] A52,4657671309894052224,YellowSG
SP77  54-25,4657677799543279232,YellowSG
HD 269723,4658617199111762560,YellowSG
HD 269697,4660124762671796096,YellowSG
HD 269355,4658145061924705536,YellowSG
W61 15-4,4658481409442931072,YellowSG
SK -69  148,4658056168985153152,YellowSG
W61 17-62,4658105857555638272,YellowSG
HD 268687,4655369585367063168,YellowSG
HD 268757,4655460776104657408,YellowSG
SOI 309,4655520287180822912,YellowSG
HD 268819,4655136518933846784,YellowSG
BM VIII  22,5337399740460279168,YellowSG
CPD-73    82,4686538128645030144,YellowSG
BM VIII  27,5333928994544960640,YellowSG
PMMR  72,4685913021985517568,YellowSG
SkKM  23,4688957393540396800,YellowSG
SkKM  45,4685949438956034048,YellowSG
BBB SMC  71,4685932671398926720,YellowSG
SkKM  95,4685886354470435584,YellowSG
SkKM  97,4685886388833194752,YellowSG
SkKM 108,4685960090477995392,YellowSG
BBB SMC 271,4687431859826479872,YellowSG
BBB SMC  29,4687235734431007872,YellowSG
BBB SMC 115,4687439041005271936,YellowSG
BBB SMC 340,4687430412395791616,YellowSG
BBB SMC 284,4687437082506488064,YellowSG
BBB SMC 174,4687460825078978304,YellowSG
[VA82] II-2,4685985658488302592,YellowSG
LIN  82,4685836605893771520,YellowSG
Dachs SMC 3-4,4687158592506675328,YellowSG
[M2002] SMC  23084,4685935866857088128,YellowSG
BBB SMC 256,4685948442516792064,YellowSG
PMMR  67,4685978198050211584,YellowSG
ISO-MCMS J005058.0-731708,4685928277712339328,YellowSG
ISO-MCMS J005118.1-731051,4685938546916542592,YellowSG
PMMR  74,4685961808462981248,YellowSG
Flo 675,4686402884416320768,YellowSG
[BKB2004b] 182,4686408111398825728,YellowSG
LHA 115-S   7,4685850173680692480,YellowSG
SkKM  61,4688978219879979264,YellowSG
SkKM  62,4688977876282473728,YellowSG
SkKM  68,4688983957955671808,YellowSG
SkKM  69,4688979181952230272,YellowSG
SkKM  80,4688979693006762496,YellowSG
SkKM 206,4687492058091855488,YellowSG
SkKM 263,4687487831842560512,YellowSG
BBB SMC 335,4687488622116431872,YellowSG
SK   55,4689288621409626496,YellowSG
RMC  26,4690503379910058624,YellowSG
SK  118,4690510492377435776,YellowSG
SkKM  15,4689234607895970688,YellowSG
SkKM  26,4689042747457032832,YellowSG
SkKM 105,4689061812779140352,YellowSG
SkKM 127,4689010380599621248,YellowSG
SkKM 159,4689014228892391808,YellowSG
SkKM 173,4689014911775375616,YellowSG
SkKM 179,4689016737152768000,YellowSG
SkKM 232,4690513374283795968,YellowSG
SkKM 278,4690510492356702848,YellowSG
UCAC2   1162240,4689006012557180672,YellowSG
AzV 197,4689002851458876800,YellowSG
Dachs SMC 1-7,4688967667098334976,YellowSG
Dachs SMC 1-11,4688967568356557440,YellowSG
BBB SMC 317,4687485357941383168,YellowSG
PMMR  97A,4689015534562135552,YellowSG
Cl* NGC  330    ARP      41,4688993647403173504,YellowSG
Cl* NGC  330    ARP      17,4688993475611783936,YellowSG
Cl* NGC  330    ARP      26,4688993681762966400,YellowSG
Cl* NGC  330    ARP      10,4688993475604563584,YellowSG
Cl* NGC  330    ARP      12,4688993471342994048,YellowSG
PMMR  60,4689003847938779648,YellowSG
PMMR  49,4688985779021321600,YellowSG
TYC 8993-488-1,5863171666680420352,YellowSG
HD 119796,5865517646532509568,YellowSG
CD-60  5093,5866522462718945152,YellowSG
IRAS 14394-6059,5877675221518937088,YellowSG
IRAS 14521-5728,5880743992801619968,YellowSG
IRAS 15061-5733,5880130602739919744,YellowSG
CD-59  5594,5876717478166037120,YellowSG
HD 138110,5882146037598018048,YellowSG
IRAS 15276-5731,5882254446930063616,YellowSG
IRAS 15402-5329,5885676298867592192,YellowSG
HD 144812,5983723702088571392,YellowSG
Cl* Westerlund    1    BKS      H,5940106763014985088,YellowSG
Cl* Westerlund    1      W       8,5940106041460479488,YellowSG
Cl* Westerlund    1      W      12,5940106763006638848,YellowSG
Cl* Westerlund    1    BKS      F,5940106763006654208,YellowSG
Cl* Westerlund    1      W     265,5940199877886921728,YellowSG
EV* N3031 V0007,1070470983066248960,YellowSG
[ZH91] NGC 2403  585,1089773390728296704,YellowSG
Cl* NGC  330    ROB A52,4688993681703883648,YellowSG
[SM2006] W31047,303381788120876416,YellowSG
[SM2006] W21097,303365776482850176,YellowSG
PMMR  45,4689032439534736000,YellowSG
PMMR 102,4688998904445375360,YellowSG
PMMR 117,4690501146527512704,YellowSG
PMMR 135,4687498998758427520,YellowSG
PMMR 139,4690526297859034240,YellowSG
LGGS J013442.14+303216.0,303362890264830208,YellowSG
LGGS J004410.62+411759.7,369278814209996928,YellowSG
[KLG2007] GC2 172,369278577989524480,YellowSG
