Star,Gaia_DR3_ID,otype
V* ET And,1938167596494348160,alf2CVnV*
V* PV And,1927149699706893952,alf2CVnV*
V* CG And,386569051169184384,alf2CVnV*
V* GO And,377540789395063552,alf2CVnV*
V* HN And,396629101528311552,alf2CVnV*
V* V2152 Cyg,1968827272086196352,alf2CVnV*
V* V414 Lac,1983647383150814080,alf2CVnV*
V* QV And,401569963186136960,alf2CVnV*
V* GY And,350556609386670592,alf2CVnV*
V* V436 And,339388182588332288,alf2CVnV*
V* V2138 Cyg,2065549248391250048,alf2CVnV*
V* V2200 Cyg,2161973497574378752,alf2CVnV*
V* V629 Cas,1993166130192090624,alf2CVnV*
V* V557 Per,340663066320950144,alf2CVnV*
V* V1934 Cyg,2170863976808686976,alf2CVnV*
HD 204411,2170789141296514560,alf2CVnV*
V* V2159 Cyg,2170849064675029376,alf2CVnV*
HD 217833,2008712606139262592,alf2CVnV*
*  63 And,355656522274764288,alf2CVnV*
V* V2117 Cyg,2069197324893936000,alf2CVnV*
V* V2147 Cyg,2165554980600644992,alf2CVnV*
V* GL Lac,2003845308681117824,alf2CVnV*
V* V436 Cas,1998885343005166464,alf2CVnV*
V* V566 Per,439448860319343232,alf2CVnV*
V* V562 Per,450969921111635072,alf2CVnV*
TYC 3309-415-1,440530088268827904,alf2CVnV*
HD 191742,2074947908154283648,alf2CVnV*
V* V1584 Cyg,2083311824385584768,alf2CVnV*
V* V2015 Cyg,2071438198315555584,alf2CVnV*
V* V456 Cep,2014304550472800128,alf2CVnV*
V* MX Cep,2013467375451956736,alf2CVnV*
V* V567 Cas,429451138534730368,alf2CVnV*
V* V551 Cas,426490355572936704,alf2CVnV*
TYC 3687-1917-1,452551461210110336,alf2CVnV*
V* V2095 Cyg,2079024622387491712,alf2CVnV*
V* V2122 Cyg,2180914990544588416,alf2CVnV*
V* V812 Cas,2015060842674907264,alf2CVnV*
HD   7157,522575547156998528,alf2CVnV*
V* V772 Cas,509749125548519424,alf2CVnV*
HD  18078,459767388524499712,alf2CVnV*
V* V1264 Cyg,2078263691619246976,alf2CVnV*
V* V2079 Cyg,2126627978307068672,alf2CVnV*
V* V2100 Cyg,2089014299695630720,alf2CVnV*
