Star,Gaia_DR3_ID,otype
HD 199021,2065970601862601728,bCepV*
NGC  6910    16,2067570459999953024,bCepV*
NGC  6910    27,2067567436342772736,bCepV*
HD 194205,2061426663907123584,bCepV*
LS III +40   12,2067570253841405440,bCepV*
LS  II +40   25,2067570322560903296,bCepV*
Schulte 63,2067783868332806016,bCepV*
HD 232489,406302497452473472,bCepV*
HD 228365,2062599636658625024,bCepV*
BD+55  2899,2008847433749379456,bCepV*
V* KP Per,241678947918118912,bCepV*
NGC  7235     8,2198645573310089600,bCepV*
LS III +60   58,2013907351903934080,bCepV*
LS III +60   59,2013907454983152640,bCepV*
Hilt 1208,2013832688190640128,bCepV*
LS   I +60   33,2012589140544752384,bCepV*
LS   I +60  128,427289941043599232,bCepV*
HD 236664,414116902694527616,bCepV*
BD+58   241,509313302321726464,bCepV*
BD+56   477,458533839562362368,bCepV*
HD  14014,456810148927837568,bCepV*
V* V352 Per,457029638935975168,bCepV*_Candidate
BD+54   490,456587222943794304,bCepV*
HD  13745,456780633911740288,bCepV*
HD 190254,2076087070918989952,bCepV*
Hilt 1117,2201363158040865152,bCepV*
Hilt   59,523858814664556928,bCepV*
V* V909 Cas,510001703986507520,bCepV*
V* V1155 Cas,511217592043001216,bCepV*
V* V1156 Cas,511216213347654144,bCepV*
BD+60   416,508432318625538688,bCepV*
HD  13338,506692036543049600,bCepV*
BD+56   488,458568611620603904,bCepV*
V* V757 Per,458369496937210752,bCepV*
BD+56   508,458379701779206400,bCepV*
BD+56   520,458377743274230784,bCepV*
BD+56   540,458355306365263232,bCepV*
HD  14357,458309191287717632,bCepV*
V* V619 Per,458454606008606336,bCepV*
V* V595 Per,458407670603899648,bCepV*
BD+56   586,458406433653361152,bCepV*
BD+56   537A,458377434036471040,bCepV*
HD  14645,458905955528942464,bCepV*
Hilt  298,458897365596010752,bCepV*
BD+56   560,458481406604070272,bCepV*
BD+56   584,458414164594352000,bCepV*
NGC   884  2579,458413060776879232,bCepV*
BD+64  1677,2206478150548202752,bCepV*
Hilt   86,524274395698613760,bCepV*
BD+63   226,512141899063944192,bCepV*
LS   I +63  163,512141800285686272,bCepV*
LS   I +63  166,512138707909235072,bCepV*
BD+57   614,463951614386579584,bCepV*
Hilt  366,461463213414128640,bCepV*
LS   I +59  155,461471150513579904,bCepV*
BD+57   655,460981833479442688,bCepV*
BD+68  1373,2214808089298359040,bCepV*
HD 232874,276131865595745920,bCepV*
* d Per,257075615399416448,bCepV*
BD+50  2787,2130166859559672192,bCepV*
* bet Cep,2272185759996420992,bCepV*
* iot Her,1362451076122760320,bCepV*
*  53 Ari,58850711337487616,bCepV*
* eps Per,229898024422755840,bCepV*
HD  28114,3287470536473585664,bCepV*
* nu. Eri,3204884534485995264,bCepV*
HD  30209,203672129480876288,bCepV*
HD  33308,187279922937354240,bCepV*
* psi02 Ori,3235897703054775936,bCepV*
LS   V +27   23,3430286582845079808,bCepV*
V* V916 Ori,3345191357881482496,bCepV*
V* V917 Ori,3345189880412734208,bCepV*
*  11 Gem,3377528716408925696,bCepV*
HD 253021,3375423014201850880,bCepV*
