Star,Gaia_DR3_ID,otype
ATO J294.9119+22.9272,2019969303107495296,delSctV*
TYC 1889-117-1,3437529886271691904,delSctV*
ZTF J222848.19+491750.6,1988078380656895360,delSctV*
TYC 3565-98-1,2086818132599764224,delSctV*
ATO J070.3066+50.2906,260114626881187200,delSctV*
ATO J312.9592+34.1321,1869168259700908672,delSctV*
OGLE LMC-DSCT-425,4661350340344081280,delSctV*
ZTF J213621.20+281157.9,1848876394640752384,delSctV*
TYC 3565-1155-1,2087178669333622016,delSctV*
ZTF J225129.65+525132.5,1990392749555950720,delSctV*
ATO J100.7747-06.3009,3100459001758272256,delSctV*
2MASS J19521864+4804337,2086514766170791296,delSctV*
ATO J102.0576+12.6188,3351756095131581440,delSctV*
OGLE GD1926.11.17955,5929479463422957952,delSctV*
HD 243112,3446640821876474752,delSctV*
2MASS J19213045+4323337,2126074064965605888,delSctV*
V* FL Cnc,709935107368372480,delSctV*
TYC 3162-1023-1,2082077004104256768,delSctV*
ATO J292.5040+25.0889,2024396486719970304,delSctV*
ATO J083.0418+39.7258,190812138400734848,delSctV*
[EHV2002] 1-5-0502,963334952310196352,delSctV*
ATO J113.5827-07.5173,3054108676771761280,delSctV*
ATO J258.3633+45.0659,1361592391900607744,delSctV*
OGLE GD1540.24.00064,5541410686993755392,delSctV*
OGLE GD-DSCT-4000,5869388064908439680,delSctV*
OGLE GD2013.24.13316,5856276113871784448,delSctV*
V* RV Ari,80637568601414144,delSctV*
SDSS J150918.28+015408.1,4420238680137875456,delSctV*
ZTF J214102.72+522520.8,2173115810978996608,delSctV*
ATO J301.5986-08.4939,4192463129779178240,delSctV*
OGLE LMC-DSCT-805,4652202884501004416,delSctV*
OGLE LMC-DSCT-129,4662360658228539264,delSctV*
OGLE LMC-DSCT-979,4658368670955440640,delSctV*
ATO J252.1041-25.1728,6046708053145457280,delSctV*
ATO J264.7355+27.0575,4594588101517353088,delSctV*
ATO J296.9440+44.1663,2078912472200803968,delSctV*
ATO J073.6512+04.2281,3233494789112492928,delSctV*
2MASS J19582566+4059545,2075091188269475712,delSctV*
CoRoT 110831227,3105813795184175744,delSctV*
ZTF J161702.65+120610.4,4457078538783301888,delSctV*
OGLE LMC-DSCT-1006,4658369186351917312,delSctV*
UCAC4 674-078010,2079108288351818496,delSctV*
UCAC4 639-062552,2099089678797909760,delSctV*
ATO J336.1896+53.4830,2001801660166615296,delSctV*
[DCT2018] F20b 32061,5605473938143768064,delSctV*
ATO J262.6470+34.7662,1335954220282345216,delSctV*
OGLE GD1547.08.00495,5547944500486048256,delSctV*
HD 184449,2125886971888144000,delSctV*
