Star,Gaia_DR3_ID,otype
BD+44  4512,1926183469506727040,gammaDorV*
[R57]  467,1987412866881524096,gammaDorV*
HD 218427,1984872170386725760,gammaDorV*
V* V624 Per,337176377509719424,gammaDorV*
V* V1012 Cas,404033487708089984,gammaDorV*
V* V623 Per,337167066020594304,gammaDorV*
V* V1006 Cas,396034952938583168,gammaDorV*
BD+43  3370,2078749469601671552,gammaDorV*
HD 189161,2075973477624286592,gammaDorV*
HD 226446,2075399979234423808,gammaDorV*
HD 226096,2076917442713332480,gammaDorV*
TYC 3144-31-1,2078516338780409728,gammaDorV*
TYC 3144-646-1,2076948396534532864,gammaDorV*
TYC 3144-1656-1,2077243168731063296,gammaDorV*
TYC 3145-759-1,2078524378959575040,gammaDorV*
ASAS J195052+4248.1,2078522072547480576,gammaDorV*
HD 190165,2082200974042507392,gammaDorV*
AG+44 1690,2079023621649972608,gammaDorV*
LS III +44    3,2081925752538971264,gammaDorV*
TYC 3149-307-1,2076149223381269376,gammaDorV*
TYC 3149-534-1,2079010397455480960,gammaDorV*
TYC 3162-656-1,2076040513470465280,gammaDorV*
TYC 3558-1208-1,2085235248175537920,gammaDorV*
TYC 3558-1852-1,2085235729213403904,gammaDorV*
*  43 Cyg,2084032554258818944,gammaDorV*
V* V1132 Cas,509861894212242176,gammaDorV*
V* V1127 Cas,509862199140936960,gammaDorV*
V* V1126 Cas,509861584974613888,gammaDorV*
BD+43  3353,2078791010525961344,gammaDorV*
TYC 3148-1126-1,2078046847310460544,gammaDorV*
TYC 3148-1962-1,2079563967197305984,gammaDorV*
BD+45  2978,2080245389528544256,gammaDorV*
HD 188713,2079439859823622272,gammaDorV*
TYC 3557-955-1,2086292943999856896,gammaDorV*
TYC 3557-1023-1,2080535488799030784,gammaDorV*
TYC 3557-2254-1,2079782937510515584,gammaDorV*
TYC 3558-2497-1,2079307128154778624,gammaDorV*
HD 189013,2085660209419178496,gammaDorV*
BD+42  3365,2125860106874705792,gammaDorV*
HD 182805,2126639420099826944,gammaDorV*
TYC 3146-757-1,2126250777100084224,gammaDorV*
TYC 3146-1192-1,2126128967525940096,gammaDorV*
BD+45  2910,2126746588123890176,gammaDorV*
TYC 3556-1109-1,2128095757604335360,gammaDorV*
TYC 3556-3106-1,2127964262892303104,gammaDorV*
BD+47  2903,2080653858099136640,gammaDorV*
BD+47  2925,2086421518143134720,gammaDorV*
TYC 3565-674-1,2134751376371748608,gammaDorV*
TYC 3565-1373-1,2135304357699985024,gammaDorV*
V* V702 Cep,2210941106903743360,gammaDorV*
HD 181598,2126938968299652352,gammaDorV*
HD 179336,2106041680361774976,gammaDorV*
BD+45  2892,2126648834668568320,gammaDorV*
TYC 3542-1223-1,2127241402715417600,gammaDorV*
TYC 3547-20-1,2129100810019649280,gammaDorV*
TYC 3547-470-1,2127835310792540160,gammaDorV*
TYC 3547-1602-1,2129313191860021760,gammaDorV*
TYC 3547-2352-1,2129237462997492352,gammaDorV*
TYC 3547-1025-1,2129643973060338560,gammaDorV*
TYC 3564-274-1,2135162456278701056,gammaDorV*
TYC 3564-1819-1,2129837761986272640,gammaDorV*
TYC 3564-2927-1,2135145620008490624,gammaDorV*
TYC 3568-996-1,2135181044900268928,gammaDorV*
TYC 3569-1999-1,2135510829668429696,gammaDorV*
HD 239276,2234899117375488768,gammaDorV*
BD+44  3063,2106134455951549824,gammaDorV*
TYC 3541-1172-1,2106385900518390784,gammaDorV*
BD+49  2951,2132750574444593280,gammaDorV*
TYC 3550-895-1,2133123545106416512,gammaDorV*
TYC 3551-1832-1,2130140608719480320,gammaDorV*
TYC 3541-967-1,2107292585294053760,gammaDorV*
TYC 3545-127-1,2131588906050067328,gammaDorV*
TYC 3549-1627-1,2132189789153336320,gammaDorV*
TYC 3549-88-1,2133687839387844992,gammaDorV*
TYC 3549-900-1,2132232979344782592,gammaDorV*
TYC 3554-190-1,2133381075642993536,gammaDorV*
TYC 3554-1916-1,2133465699379595776,gammaDorV*
TYC 3540-1251-1,2119165283648314752,gammaDorV*
BD+47  2677,2119472077453946496,gammaDorV*
TYC 3544-2086-1,2119573232523831424,gammaDorV*
*   9 Aur,265722999474087424,gammaDorV*
V* UY UMi,1728674141358771840,gammaDorV*
V* V546 Aur,970356188749242624,gammaDorV*
V* V547 Aur,970357601795422848,gammaDorV*
V* VX UMi,1656523844747203840,gammaDorV*
V* LS UMa,1094178554001718144,gammaDorV*
V* KO UMa,1092115045554263296,gammaDorV*
HD  61659,927494721533467520,gammaDorV*
*   8 Dra,1677302170674242560,gammaDorV*
V* LU UMa,1039939611042748160,gammaDorV*
V* NZ UMa,1546508944658745216,gammaDorV*
HD  89781,805628460483324672,gammaDorV*
V* HT Cet,7012208421296512,gammaDorV*
V* V1225 Tau,68593346433465856,gammaDorV*
V* V1210 Tau,65212107660378880,gammaDorV*
HD  23874,36884736758841344,gammaDorV*
V* IK Eri,5097554610401124736,gammaDorV*
HD  32348,3295137705932093440,gammaDorV*
Cl* NGC 1817    BJG      81,3394022348600688896,gammaDorV*
Cl* NGC 1817    BJG     163,3394740746305963008,gammaDorV*
Cl* NGC 1817    BJG     217,3394784554972027264,gammaDorV*
NGC  1817     4,3394743873041962752,gammaDorV*
NGC  1817    67,3394744693379350912,gammaDorV*
Cl* NGC 1817    BJG     417,3394786960153761024,gammaDorV*
Cl* NGC 1817    BJG     864,3394801013286962560,gammaDorV*
NGC  1817   167,3394749336240409216,gammaDorV*
NGC  1817   196,3394746106424888320,gammaDorV*
Cl* NGC 1817    BJG     558,3394755619776133120,gammaDorV*
2MASS J05125914+1642528,3394745174415719680,gammaDorV*
2MASS J05125818+1642213,3394744800755099648,gammaDorV*
2MASS J05121957+1637412,3394743323286174080,gammaDorV*
Cl* NGC 1817    BJG     147,3393987374681854464,gammaDorV*
2MASS J05133240+1625263,3393982633037962496,gammaDorV*
HD  36887,2964539779510483328,gammaDorV*
HD 247634,3443554905051820928,gammaDorV*
HD 248874,3444099335107178496,gammaDorV*
HD 247837,3429364058225801472,gammaDorV*
HD 248069,3429413639331121920,gammaDorV*
V* AC Lep,2997582921422547072,gammaDorV*
V* AW Lep,2994263083501397760,gammaDorV*
TYC 1314-887-1,3345874841797456896,gammaDorV*
HD  43338,3324863208950050176,gammaDorV*
V* V406 CMa,2893942233835073792,gammaDorV*
V* V553 Aur,943823774876771456,gammaDorV*
Cl* NGC 2264    SBL    2098,3326929191297618944,gammaDorV*
ESO-HA  532,3326939224341203968,gammaDorV*
TYC  147-506-1,3125522742970050304,gammaDorV*
V* V350 CMa,2926364529638066176,gammaDorV*
HD  47743,2919886310205327744,gammaDorV*
HD  49015,3134167073326656000,gammaDorV*
Cl* Dolidze   25     MV      24,3125513878155537024,gammaDorV*
V* V855 Mon,3113576106757823616,gammaDorV*
HD  49434,3107091187177468416,gammaDorV*
V* DO Lyn,920379953589774592,gammaDorV*
V* DD CMi,3086002004397666304,gammaDorV*
V* V436 Gem,880711223327401984,gammaDorV*
V* V769 Mon,3068540350999693952,gammaDorV*
V* EF Lyn,904195108068830976,gammaDorV*
HD 221431,2325012826940835200,gammaDorV*
HD  13776,5122929345904578560,gammaDorV*
CD-22   422,2351675949555000832,gammaDorV*
V* EP Cet,5145458029919680128,gammaDorV*
V* FO Cet,2461684115138473344,gammaDorV*
V* KU Eri,5183731411207169536,gammaDorV*
V* BT Psc,2449476684211187328,gammaDorV*
V* BU Psc,2448569690198755840,gammaDorV*
GSC 00047-00803,2499151893704574336,gammaDorV*
V* PR Peg,2707120399225065984,gammaDorV*
V* FM Psc,2554867656873101184,gammaDorV*
V* V418 Peg,2813267973327046272,gammaDorV*
V* V372 Peg,1773135299209107712,gammaDorV*
*  39 Peg,1873642756615512320,gammaDorV*
NGC   752    58,342536290536098176,gammaDorV*
V* V529 And,372251348191007872,gammaDorV*
V* V415 Hya,5746174695926898944,gammaDorV*
HD  85693,5657362709346890112,gammaDorV*
V* V416 Hya,5685831779807743104,gammaDorV*
HD  87118,5421442354803252864,gammaDorV*
HD  91616,5440500258566838912,gammaDorV*
*  80 Leo,3812739573575629184,gammaDorV*
V* NY UMa,767164313928677248,gammaDorV*
HD 100376,3484777279603755008,gammaDorV*
BD+41  2224,767559107321915264,gammaDorV*
HD 103751,3918434629921899520,gammaDorV*
HD 103257,3463905353452403840,gammaDorV*
HD 104957,4014366435329414912,gammaDorV*
V* MS Com,4000317631663747328,gammaDorV*
V* DD CVn,1535136043052268416,gammaDorV*
HD 109799,3496266901235127808,gammaDorV*
HD 110606,6157193372412578176,gammaDorV*
HD 113867,3944237075449017984,gammaDorV*
HD 113385,3509079235355363840,gammaDorV*
HD 113357,6141995823908711424,gammaDorV*
*  58 Vir,3623497335919494144,gammaDorV*
BD+35  2465,1471664741475242112,gammaDorV*
HD 120054,6171117523243477760,gammaDorV*
HD 121698,6287717879510001024,gammaDorV*
*  97 Vir,3614856480195250176,gammaDorV*
V* V1200 Sco,5966503185331816832,gammaDorV*
V* V1202 Sco,5966503116612387712,gammaDorV*
V* V1213 Sco,5966499714998188544,gammaDorV*
V* V1214 Sco,5966505624873674240,gammaDorV*
V* V1215 Sco,5966505831031654272,gammaDorV*
V* V1210 Sco,5966499818077421824,gammaDorV*
HD 133803,6212050520082538880,gammaDorV*
HD 187698,6746505152200010240,gammaDorV*
HD 155854,5978757620388722304,gammaDorV*
V* V5546 Sgr,6745348122372402944,gammaDorV*
HD 144451,6243683778850814464,gammaDorV*
