Star,Gaia_DR3_ID,otype
V* V448 Lac,1958757291756223104,post-AGB*
V* LX And,332909001084177920,post-AGB*
EM* VES  351,2168803045330976768,post-AGB*
EM* GGR   44,2005246464463628800,post-AGB*
HD 235858,2006425553228658816,post-AGB*
IRAS 20144+4656,2084069039991293440,post-AGB*
IRAS 21289+5815,2179471159976791168,post-AGB*
IRAS 23304+6147,2015785313459952128,post-AGB*
IRAS 22574+6609,2212169708069607168,post-AGB*
IRAS Z02229+6208,513671461473684352,post-AGB*
IRAS 20490+5934,2193902559325301760,post-AGB*
PN M  2-56,2215394163356781696,post-AGB*
V* TW Cam,469128905405009792,post-AGB*
BD+48  1220,255225480926107392,post-AGB*
IRAS 01005+7910,565507868441719424,post-AGB*
HD 161796,1367102319545324288,post-AGB*
V* V382 Aur,994259335315643520,post-AGB*
IRAS 04296+3429,173086700992466688,post-AGB*
RAFGL  618,174362585455566464,post-AGB*
IRAS 05113+1347,3388902129107252992,post-AGB*
V* AY Lep,2968265509022275840,post-AGB*
IRAS 05341+0852,3334854780347915520,post-AGB*
V* RV Col,2902505745786910080,post-AGB*
HD 246299,3336558507975208448,post-AGB*
HD  44179,3001477146793228288,post-AGB*
V* SZ Mon,3112344688094507136,post-AGB*
IRAS 06530-0213,3105987960396950784,post-AGB*
2MASS J06544616-1048325,3049274119844532224,post-AGB*
V* ST Pup,5577329081864722176,post-AGB*
V* PS Gem,3159640386918214528,post-AGB*
HD  56126,3156171118495247360,post-AGB*
IRAS 07131-0147,3108327343185135872,post-AGB*
V* V421 CMa,5617989266685365120,post-AGB*
IRAS 07253-2001,5620444471847839232,post-AGB*
V* AI CMi,3086522245196118400,post-AGB*
V* AR Pup,5544432522903057152,post-AGB*
IRAS 08057-3417,5545800762036628736,post-AGB*
HD  70379,5707613169577769600,post-AGB*
IRAS 08242-3828,5540178478053582592,post-AGB*
PHL  1580,6831062200578042624,post-AGB*
PHL   174,6824212243136821248,post-AGB*
HD 213985,2594762641717531008,post-AGB*
BD+39  4926,1932229409071269248,post-AGB*
V* BZ Pyx,5636099047820103424,post-AGB*
HD  89353,5462428643590805248,post-AGB*
V* AF Crt,3589047952995134720,post-AGB*
HD 105262,3920735495441657728,post-AGB*
HD 107369,3469106382752903168,post-AGB*
V* LN Hya,3497154104039422848,post-AGB*
CD-42  8141,6135778223095320960,post-AGB*
NAME vZ 1128,1454878600534492800,post-AGB*
V* CE Vir,3658327596544582400,post-AGB*
[M81] I-598,5954670408684703872,post-AGB*
HD 177566,6715619076008049792,post-AGB*
IRAS 16342-3814,6017637966472859392,post-AGB*
WRAY 15-1676,5972460442434579968,post-AGB*
IRAS 17234-4008,5960186761599871488,post-AGB*
IRAS 17245-3951,5960219579529308544,post-AGB*
V* V1333 Sco,6023926760641310208,post-AGB*
IRAS 18025-3906,4035907203854415488,post-AGB*
IRAS 18158-3445,4044520262548753152,post-AGB*
IRAS 17106-3046,5980714063986945920,post-AGB*
